,cu,zn
495,0.63441,0.37596
496,0.63525,0.37532
497,0.63525,0.37468
498,0.63608,0.37341
499,0.63608,0.37277
500,0.63608,0.37213
501,0.63692,0.37084
502,0.63692,0.3702
503,0.63692,0.36956
504,0.63776,0.36827
505,0.63776,0.36762
506,0.63859,0.36698
507,0.63859,0.36569
508,0.63859,0.36504
509,0.63859,0.36374
510,0.63942,0.36309
511,0.63942,0.36244
512,0.64025,0.36114
513,0.64025,0.36048
514,0.64025,0.35918
515,0.64108,0.35787
516,0.64108,0.35721
517,0.64108,0.3559
518,0.6419,0.35524
519,0.6419,0.35392
520,0.6419,0.35326
521,0.64273,0.35194
522,0.64273,0.35128
523,0.64355,0.34996
524,0.64355,0.34929
525,0.64437,0.34796
526,0.64437,0.3473
527,0.64519,0.34663
528,0.64519,0.34529
529,0.64519,0.34463
530,0.646,0.34396
531,0.646,0.34262
532,0.64682,0.34194
533,0.64763,0.34127
534,0.64763,0.3406
535,0.64844,0.33925
536,0.64844,0.33858
537,0.64925,0.3379
538,0.64925,0.33723
539,0.65005,0.33655
540,0.65005,0.33587
541,0.65086,0.33519
542,0.65166,0.33451
543,0.65166,0.33384
544,0.65246,0.33316
545,0.65326,0.33247
546,0.65326,0.33179
547,0.65406,0.33111
548,0.65406,0.33111
549,0.65486,0.33043
550,0.65565,0.32974
551,0.65565,0.32906
552,0.65644,0.32906
553,0.65644,0.32837
554,0.65723,0.32837
555,0.65723,0.32769
556,0.65802,0.32769
557,0.65802,0.327
558,0.65881,0.327
559,0.65881,0.32631
560,0.65881,0.32631
561,0.65959,0.32631
562,0.65959,0.32563
563,0.65959,0.32563
564,0.65959,0.32563
565,0.65959,0.32563
566,0.65959,0.32563
567,0.65959,0.32563
568,0.65959,0.32563
569,0.65959,0.32563
570,0.65959,0.32563
571,0.65959,0.32631
572,0.65959,0.32631
573,0.65881,0.32631
574,0.65881,0.32631
575,0.65802,0.327
576,0.65802,0.327
577,0.65723,0.327
578,0.65723,0.32769
579,0.65644,0.32769
580,0.65644,0.32769
581,0.65565,0.32837
582,0.65486,0.32837
583,0.65486,0.32837
584,0.65406,0.32906
585,0.65326,0.32906
586,0.65246,0.32974
587,0.65166,0.32974
588,0.65086,0.33043
589,0.65005,0.33043
590,0.64925,0.33043
591,0.64844,0.33111
592,0.64763,0.33111
593,0.64682,0.33179
594,0.646,0.33179
595,0.64519,0.33179
596,0.64437,0.33247
597,0.64355,0.33247
598,0.6419,0.33316
599,0.64108,0.33316
600,0.64025,0.33316
601,0.63942,0.33384
602,0.63859,0.33384
603,0.63692,0.33384
604,0.63608,0.33451
605,0.63525,0.33451
606,0.63356,0.33451
607,0.63272,0.33519
608,0.63187,0.33519
609,0.63102,0.33519
610,0.62932,0.33519
611,0.62846,0.33587
612,0.62761,0.33587
613,0.62589,0.33587
614,0.62503,0.33587
615,0.62416,0.33587
616,0.62243,0.33587
617,0.62156,0.33655
618,0.62069,0.33655
619,0.61981,0.33655
620,0.61806,0.33655
621,0.61718,0.33655
622,0.61629,0.33655
623,0.61452,0.33723
624,0.61363,0.33723
625,0.61274,0.33723
626,0.61185,0.33723
627,0.61006,0.33723
628,0.60916,0.33723
629,0.60826,0.33723
630,0.60645,0.33723
631,0.60554,0.33723
632,0.60463,0.33723
633,0.60372,0.33723
634,0.60189,0.3379
635,0.60098,0.3379
636,0.60006,0.3379
637,0.59913,0.3379
638,0.59728,0.3379
639,0.59635,0.3379
640,0.59542,0.3379
641,0.59449,0.3379
642,0.59262,0.3379
643,0.59168,0.3379
644,0.59074,0.3379
645,0.5898,0.3379
646,0.5879,0.3379
647,0.58695,0.3379
648,0.586,0.3379
649,0.58505,0.3379
650,0.58409,0.3379
651,0.58217,0.3379
652,0.58121,0.3379
653,0.58024,0.3379
654,0.57927,0.3379
655,0.57733,0.3379
656,0.57636,0.3379
657,0.57538,0.3379
658,0.5744,0.33723
659,0.57342,0.33723
660,0.57244,0.33723
661,0.57046,0.33723
662,0.56947,0.33723
663,0.56848,0.33723
664,0.56749,0.33723
665,0.56649,0.33723
666,0.56449,0.33723
667,0.56348,0.33723
668,0.56248,0.33723
669,0.56147,0.33723
670,0.56046,0.33723
671,0.55945,0.33655
672,0.55741,0.33655
673,0.55639,0.33655
674,0.55537,0.33655
675,0.55434,0.33655
676,0.55332,0.33655
677,0.55229,0.33655
678,0.55125,0.33655
679,0.55022,0.33587
680,0.54918,0.33587
681,0.54814,0.33587
682,0.5471,0.33587
683,0.54501,0.33587
684,0.54396,0.33587
685,0.54291,0.33519
686,0.54186,0.33519
687,0.5408,0.33519
688,0.53974,0.33519
689,0.53868,0.33519
690,0.53762,0.33519
691,0.53655,0.33451
692,0.53548,0.33451
693,0.53334,0.33451
694,0.53226,0.33451
695,0.53119,0.33384
696,0.53011,0.33384
697,0.52902,0.33384
698,0.52794,0.33384
699,0.52685,0.33384
700,0.52576,0.33316
701,0.52466,0.33316
702,0.52357,0.33316
703,0.52247,0.33316
704,0.52137,0.33247
705,0.52027,0.33247
706,0.51916,0.33247
707,0.51805,0.33247
708,0.51694,0.33179
709,0.51583,0.33179
710,0.51471,0.33179
711,0.51359,0.33111
712,0.51247,0.33111
713,0.51135,0.33111
714,0.51022,0.33111
715,0.50909,0.33043
716,0.50796,0.33043
717,0.50683,0.33043
718,0.50569,0.32974
719,0.50455,0.32974
720,0.50341,0.32974
721,0.50226,0.32906
722,0.50112,0.32906
723,0.49997,0.32906
724,0.49881,0.32906
725,0.49766,0.32837
726,0.4965,0.32837
727,0.49534,0.32837
728,0.49418,0.32769
729,0.49301,0.32769
730,0.49184,0.32769
731,0.49067,0.327
732,0.4895,0.327
733,0.48832,0.327
734,0.48714,0.32631
735,0.48714,0.32631
736,0.48596,0.32631
737,0.48477,0.32563
738,0.48358,0.32563
739,0.48239,0.32494
740,0.4812,0.32494
741,0.48,0.32494
742,0.47881,0.32425
743,0.4776,0.32425
744,0.4764,0.32356
745,0.47519,0.32356
746,0.47398,0.32356
747,0.47398,0.32287
748,0.47277,0.32287
749,0.47155,0.32287
750,0.47034,0.32218
751,0.46912,0.32218
752,0.46789,0.32148
753,0.46667,0.32148
754,0.46544,0.32079
755,0.4642,0.32079
756,0.4642,0.32079
757,0.46297,0.3201
758,0.46173,0.3201
759,0.46049,0.3194
760,0.45925,0.3194
761,0.458,0.31871
762,0.45675,0.31871
763,0.4555,0.31871
764,0.4555,0.31801
765,0.45424,0.31801
766,0.45298,0.31732
767,0.45172,0.31732
768,0.45046,0.31732
769,0.45046,0.31662
770,0.44919,0.31662
771,0.44792,0.31592
772,0.44665,0.31592
773,0.44537,0.31522
774,0.44537,0.31522
775,0.4441,0.31452
776,0.44281,0.31452
777,0.44153,0.31452
778,0.44024,0.31382
779,0.44024,0.31382
780,0.43895,0.31312
781,0.43766,0.31312
782,0.43636,0.31242
783,0.43636,0.31242
784,0.43506,0.31242
785,0.43376,0.31172
786,0.43246,0.31172
787,0.43115,0.31102
788,0.43115,0.31102
789,0.42984,0.31031
790,0.42852,0.31031
791,0.42852,0.31031
792,0.4272,0.30961
793,0.42588,0.30961
794,0.42456,0.3089
795,0.42456,0.3089
796,0.42323,0.3082
797,0.4219,0.3082
798,0.42057,0.30749
799,0.42057,0.30749
800,0.41924,0.30678
801,0.4179,0.30678
802,0.4179,0.30678
803,0.41655,0.30608
804,0.41521,0.30608
805,0.41386,0.30537
806,0.41386,0.30537
807,0.41251,0.30466
808,0.41116,0.30466
809,0.41116,0.30395
810,0.4098,0.30395
811,0.40844,0.30395
812,0.40844,0.30324
813,0.40707,0.30324
814,0.40571,0.30253
815,0.40571,0.30253
816,0.40434,0.30181
817,0.40434,0.30181
818,0.40296,0.30181
819,0.40159,0.3011
820,0.40159,0.3011
821,0.40021,0.30039
822,0.39883,0.30039
823,0.39883,0.29967
824,0.39744,0.29967
825,0.39605,0.29967
826,0.39605,0.29896
827,0.39466,0.29896
828,0.39466,0.29824
829,0.39326,0.29824
830,0.39186,0.29752
831,0.39186,0.29752
832,0.39046,0.29752
833,0.38906,0.29681
834,0.38906,0.29681
835,0.38765,0.29609
836,0.38765,0.29609
837,0.38624,0.29537
838,0.38482,0.29537
839,0.38482,0.29537
840,0.3834,0.29465
841,0.3834,0.29465
842,0.38198,0.29393
843,0.38056,0.29393
844,0.38056,0.29321
845,0.37913,0.29321
846,0.37913,0.29321
847,0.3777,0.29249
848,0.37627,0.29249
849,0.37627,0.29177
850,0.37483,0.29177
851,0.37483,0.29104
852,0.37339,0.29104
853,0.37339,0.29104
854,0.37194,0.29032
855,0.37049,0.29032
856,0.37049,0.28959
857,0.36904,0.28959
858,0.36904,0.28887
859,0.36759,0.28887
860,0.36759,0.28887
861,0.36613,0.28814
862,0.36467,0.28814
863,0.36467,0.28741
864,0.3632,0.28741
865,0.3632,0.28669
866,0.36174,0.28669
867,0.36174,0.28669
868,0.36027,0.28596
869,0.36027,0.28596
870,0.35879,0.28523
871,0.35879,0.28523
872,0.35731,0.2845
873,0.35731,0.2845
874,0.35583,0.28377
875,0.35435,0.28377
876,0.35435,0.28377
877,0.35286,0.28304
878,0.35286,0.28304
879,0.35137,0.28231
880,0.35137,0.28231
881,0.34987,0.28157
882,0.34987,0.28157
883,0.34837,0.28157
884,0.34837,0.28084
885,0.34687,0.28084
886,0.34687,0.2801
887,0.34536,0.2801
888,0.34536,0.27937
889,0.34385,0.27937
890,0.34385,0.27863
891,0.34234,0.27863
892,0.34234,0.2779
893,0.34083,0.2779
894,0.34083,0.2779
895,0.33931,0.27716
896,0.33931,0.27716
897,0.33778,0.27642
898,0.33778,0.27642
899,0.33626,0.27568
900,0.33626,0.27568
