City,Date,Initial_hour,Particule,TES,TUV Dose,Dose ratio
Nueva York,2024-06-21,11,cu,22,343265.66961825,1.03643016189085
Nueva York,2024-07-21,5,cu,170,336620.173722649,1.01636525882442
Nueva York,2024-07-21,11,cu,22,332439.58560546,1.00374271016141
Nueva York,2024-08-21,5,cu,195,334501.367841391,1.00996789807183
Nueva York,2024-08-21,11,cu,24,339790.74992172,1.02593825459457
Nueva York,2024-09-21,5,cu,224,335428.086185017,1.01276596070355
Nueva York,2024-09-21,11,cu,27,336904.58347242,1.01722398391431
Nueva York,2024-10-21,5,cu,259,336513.957064398,1.01604455635386
Nueva York,2024-10-21,11,cu,33,336300.78932901,1.0154009339644
Nueva York,2024-11-21,5,cu,302,332975.092115863,1.00535957764451
Nueva York,2024-11-21,11,cu,43,336306.63889065,1.01541859568433
Nueva York,2024-12-21,5,cu,333,334575.294849666,1.01019110763788
Nueva York,2024-12-21,11,cu,50,333081.70420284,1.00568147404239
Los Ángeles,2024-01-21,5,zn,594,1353889.31590042,1.0002137381061
Los Ángeles,2024-01-21,11,zn,350,1354066.28881647,1.00034448050862
Los Ángeles,2024-02-21,5,zn,521,1358637.38106239,1.00372146946098
Los Ángeles,2024-02-21,11,zn,252,1355569.15130063,1.00145475125637
Los Ángeles,2024-03-21,5,zn,461,1357733.97777045,1.00305406159164
Los Ángeles,2024-03-21,11,zn,209,1353764.76381084,1.00012172267349
Los Ángeles,2024-04-21,5,zn,415,1353790.34635375,1.00014062230626
Los Ángeles,2024-04-21,11,zn,188,1358806.29023709,1.00384625460778
Los Ángeles,2024-05-21,5,zn,394,1360638.24137658,1.00519964640705
Los Ángeles,2024-05-21,11,zn,180,1353627.02971692,1.0000199687625
Los Ángeles,2024-06-21,5,zn,393,1359412.16427353,1.00429385658506
Los Ángeles,2024-06-21,11,zn,180,1358212.55995005,1.00340762407657
Los Ángeles,2024-07-21,5,zn,405,1357530.90818152,1.00290403973221
Los Ángeles,2024-07-21,11,zn,183,1359508.19678043,1.00436480258602
Los Ángeles,2024-08-21,5,zn,423,1354049.48433102,1.00033206584738
Los Ángeles,2024-08-21,11,zn,191,1355368.49425776,1.00130651171525
Los Ángeles,2024-09-21,5,zn,451,1356751.40681155,1.0023281669707
Los Ángeles,2024-09-21,11,zn,213,1353820.45689108,1.00016286708856
Los Ángeles,2024-10-21,5,zn,498,1357434.22140852,1.00283261037863
Los Ángeles,2024-10-21,11,zn,264,1357100.85270767,1.00258632735495
Los Ángeles,2024-11-21,5,zn,575,1355879.62657101,1.00168412128473
Los Ángeles,2024-11-21,11,zn,,1293180.13607858,0.955363575708172
Los Ángeles,2024-12-21,5,zn,636,1355264.19902942,1.00122946145791
Los Ángeles,2024-12-21,11,zn,,1197969.51294171,0.885024758378923
Los Ángeles,2024-01-21,5,cu,298,333285.911818055,1.00629804292891
Los Ángeles,2024-01-21,11,cu,37,339638.89033047,1.02547974133596
Los Ángeles,2024-02-21,5,cu,268,336513.772536848,1.01604399920546
Los Ángeles,2024-02-21,11,cu,30,338570.01594924,1.02225246361486
Los Ángeles,2024-03-21,5,cu,228,332833.234037119,1.00493126218937
Los Ángeles,2024-03-21,11,cu,25,340436.86714212,1.02788909161268
Los Ángeles,2024-04-21,5,cu,189,331248.282828441,1.00014578148684
Los Ángeles,2024-04-21,11,cu,22,338733.73879257,1.02274679587129
Los Ángeles,2024-05-21,5,cu,166,331688.09971642,1.00147373102784
Los Ángeles,2024-05-21,11,cu,21,337926.10956555,1.02030830182835
Los Ángeles,2024-06-21,5,cu,164,336249.068548938,1.01524477218882
Los Ángeles,2024-06-21,11,cu,21,337301.5457184,1.01842254142029
Los Ángeles,2024-07-21,5,cu,177,335698.704439702,1.01358304480586
Los Ángeles,2024-07-21,11,cu,22,346029.8184327,1.04477602183786
Los Ángeles,2024-08-21,5,cu,195,331568.293082338,1.00111199602155
Los Ángeles,2024-08-21,11,cu,23,346330.51095627,1.04568390989212
Los Ángeles,2024-09-21,5,cu,216,337498.667978006,1.0190177173249
Los Ángeles,2024-09-21,11,cu,25,344529.59960211,1.04024637561024
Los Ángeles,2024-10-21,5,cu,241,336559.765848754,1.01618286790083
Los Ángeles,2024-10-21,11,cu,29,343720.99170171,1.0378049266356
Los Ángeles,2024-11-21,5,cu,274,333072.232219767,1.00565287505968
Los Ángeles,2024-11-21,11,cu,35,339573.97341852,1.02528373616703
Los Ángeles,2024-12-21,5,cu,300,333754.36746528,1.00771246215362
Los Ángeles,2024-12-21,11,cu,39,334534.17699753,1.01006695953361
Monterrey,2024-01-21,8,zn,350,1357994.26423001,1.00324635359782
Monterrey,2024-01-21,11,zn,272,1356261.76200356,1.00196643174022
Monterrey,2024-02-21,8,zn,306,1358119.42649634,1.00333881981113
Monterrey,2024-02-21,11,zn,224,1357951.45376694,1.00321472648267
Monterrey,2024-03-21,8,zn,268,1358702.2653164,1.0037694040458
Monterrey,2024-03-21,11,zn,196,1356675.4112604,1.00227202368528
Monterrey,2024-04-21,8,zn,243,1355828.79370497,1.00164656745344
Monterrey,2024-04-21,11,zn,183,1358844.74728728,1.00387466554911
Monterrey,2024-05-21,8,zn,235,1353670.58427983,1.0000521455968
Monterrey,2024-05-21,11,zn,180,1357045.35891669,1.00254533016895
Monterrey,2024-06-21,8,zn,238,1358364.64368506,1.00351997908175
Monterrey,2024-06-21,11,zn,181,1358392.23185187,1.00354036041066
Monterrey,2024-07-21,8,zn,243,1357196.82207177,1.00265722670787
Monterrey,2024-07-21,11,zn,182,1358110.52907465,1.0033322466568
Monterrey,2024-08-21,8,zn,249,1357527.05928264,1.00290119627855
Monterrey,2024-08-21,11,zn,186,1358726.23114179,1.00378710929506
Monterrey,2024-09-21,8,zn,261,1357220.33277199,1.00267459572399
Monterrey,2024-09-21,11,zn,200,1358520.50277537,1.00363512320875
Monterrey,2024-10-21,8,zn,287,1356236.20963977,1.0019475544029
Monterrey,2024-10-21,11,zn,232,1357556.87055218,1.00292321997058
Monterrey,2024-11-21,8,zn,331,1354673.69078963,1.00079321128075
Monterrey,2024-11-21,11,zn,289,1354676.50735637,1.00079529207769
Monterrey,2024-12-21,8,zn,364,1354694.02049813,1.00080823027344
Monterrey,2024-12-21,11,zn,320,1355179.72132242,1.00116705180439
Monterrey,2024-01-21,8,cu,91,337339.946926263,1.0185384870962
Monterrey,2024-01-21,11,cu,30,331958.77282473,1.002290980751
Monterrey,2024-02-21,8,cu,73,331585.76631084,1.00116475335399
Monterrey,2024-02-21,11,cu,26,334563.62379585,1.01015586894882
Monterrey,2024-03-21,8,cu,55,332766.10167963,1.00472856787328
Monterrey,2024-03-21,11,cu,23,339528.55060962,1.02514659000489
Monterrey,2024-04-21,8,cu,44,336560.36858388,1.01618468775326
Monterrey,2024-04-21,11,cu,21,336439.04495685,1.01581837245426
Monterrey,2024-05-21,8,cu,40,335174.44126752,1.0120001246
Monterrey,2024-05-21,11,cu,21,343519.3514097,1.0371961093288
Monterrey,2024-06-21,8,cu,41,339560.360579789,1.02524263460081
Monterrey,2024-06-21,11,cu,21,339744.7237035,1.02579928654438
Monterrey,2024-07-21,8,cu,43,334677.671331239,1.0105002153721
Monterrey,2024-07-21,11,cu,21,335050.36849605,1.01162550874411
Monterrey,2024-08-21,8,cu,46,335263.50795546,1.01226904575924
Monterrey,2024-08-21,11,cu,22,345474.37818942,1.04309896796322
Monterrey,2024-09-21,8,cu,50,335854.21706928,1.01405258776957
Monterrey,2024-09-21,11,cu,23,343182.15328473,1.0361779990481
Monterrey,2024-10-21,8,cu,58,337646.08068114,1.01946280398895
Monterrey,2024-10-21,11,cu,25,335569.00666659,1.01319144524937
Monterrey,2024-11-21,8,cu,73,336084.72348594,1.01474856124982
Monterrey,2024-11-21,11,cu,29,336372.32595921,1.01561692620534
Monterrey,2024-12-21,8,cu,89,333664.871639133,1.00744224528724
Monterrey,2024-12-21,11,cu,32,338926.67244222,1.0233293250067
Ciudad de México,2024-01-21,8,zn,322,1354135.6568016,1.00039572754255
Ciudad de México,2024-01-21,11,zn,245,1355000.0089841,1.001034285597
Ciudad de México,2024-02-21,8,zn,291,1357994.00209157,1.00324615993762
Ciudad de México,2024-02-21,11,zn,212,1359059.19017103,1.00403308966536
Ciudad de México,2024-03-21,8,zn,262,1357907.62124793,1.00318234430255
Ciudad de México,2024-03-21,11,zn,192,1360161.34230933,1.00484732735618
Ciudad de México,2024-04-21,8,zn,244,1357250.037174,1.00269654046543
Ciudad de México,2024-04-21,11,zn,184,1359996.61104903,1.00472562873008
Ciudad de México,2024-05-21,8,zn,240,1353657.87473355,1.00004275615658
Ciudad de México,2024-05-21,11,zn,184,1355223.26404317,1.00119921989005
Ciudad de México,2024-06-21,8,zn,245,1360213.13832291,1.00488559273265
Ciudad de México,2024-06-21,11,zn,186,1354979.71025355,1.00101928948992
Ciudad de México,2024-07-21,8,zn,248,1355568.55771328,1.00145431273144
Ciudad de México,2024-07-21,11,zn,186,1357647.70914966,1.00299032886352
Ciudad de México,2024-08-21,8,zn,250,1360086.69602225,1.0047921808675
Ciudad de México,2024-08-21,11,zn,186,1354457.19450816,1.00063327017447
Ciudad de México,2024-09-21,8,zn,255,1357538.63928099,1.00290975124187
Ciudad de México,2024-09-21,11,zn,195,1356125.31396342,1.00186562792806
Ciudad de México,2024-10-21,8,zn,272,1354908.54868826,1.00096671741154
Ciudad de México,2024-10-21,11,zn,218,1355094.62180028,1.00110418277207
Ciudad de México,2024-11-21,8,zn,305,1359205.60127717,1.00414125389862
Ciudad de México,2024-11-21,11,zn,256,1357220.44788883,1.00267468076894
Ciudad de México,2024-12-21,8,zn,330,1357038.42898581,1.00254021053916
Ciudad de México,2024-12-21,11,zn,271,1353780.49605702,1.00013334519579
Ciudad de México,2024-01-21,8,cu,79,337690.853741985,1.0195979883514
Ciudad de México,2024-01-21,11,cu,28,340628.69706126,1.02846828822844
Ciudad de México,2024-02-21,8,cu,67,334237.05050271,1.00916983847437
Ciudad de México,2024-02-21,11,cu,25,342402.68230002,1.03382452385272
Ciudad de México,2024-03-21,8,cu,54,339140.86134417,1.02397603062853
Ciudad de México,2024-03-21,11,cu,22,334252.67268372,1.00921700689529
Ciudad de México,2024-04-21,8,cu,45,339020.074995689,1.02361133754737
Ciudad de México,2024-04-21,11,cu,21,337541.3257338,1.01914651489674
Ciudad de México,2024-05-21,8,cu,42,336023.02267557,1.01456226653252
Ciudad de México,2024-05-21,11,cu,21,338187.25056705,1.02109677103578
Ciudad de México,2024-06-21,8,cu,43,334708.938844289,1.0105946221144
Ciudad de México,2024-06-21,11,cu,21,332045.9874912,1.00255431005797
Ciudad de México,2024-07-21,8,cu,45,332747.486758949,1.00467236340263
Ciudad de México,2024-07-21,11,cu,22,346644.64917309,1.04663239484629
Ciudad de México,2024-08-21,8,cu,47,337496.532720511,1.0190112702914
Ciudad de México,2024-08-21,11,cu,22,346956.38797212,1.04757363518152
Ciudad de México,2024-09-21,8,cu,48,332896.73982138,1.00512300670707
Ciudad de México,2024-09-21,11,cu,22,337883.45461155,1.02017951271603
Ciudad de México,2024-10-21,8,cu,53,336914.27847999,1.01725325628016
Ciudad de México,2024-10-21,11,cu,24,342116.46363942,1.03296033707554
Ciudad de México,2024-11-21,8,cu,63,333115.59380709,1.00578379772672
Ciudad de México,2024-11-21,11,cu,27,342841.32776916,1.03514893650109
Ciudad de México,2024-12-21,8,cu,76,336393.94292841,1.01568219483216
Ciudad de México,2024-12-21,11,cu,29,341401.81405302,1.0308025786625
Cartagena,2024-01-21,8,zn,245,1357431.85898991,1.00283086509302
Cartagena,2024-01-21,11,zn,196,1353820.25714622,1.00016271952292
Cartagena,2024-02-21,8,zn,231,1360477.68710219,1.00508103361568
Cartagena,2024-02-21,11,zn,180,1356032.32238802,1.00179692847815
Cartagena,2024-03-21,8,zn,217,1357352.7359964,1.00277241134486
Cartagena,2024-03-21,11,zn,172,1357002.48078726,1.00251365306387
Cartagena,2024-04-21,8,zn,211,1357033.68460557,1.00253670553012
Cartagena,2024-04-21,11,zn,173,1357791.76309119,1.00309675169266
Cartagena,2024-05-21,8,zn,214,1356654.81212136,1.00225680564521
Cartagena,2024-05-21,11,zn,179,1358521.29673458,1.00363570976254
Cartagena,2024-06-21,8,zn,220,1358866.72670098,1.00389090329565
Cartagena,2024-06-21,11,zn,182,1356525.91378974,1.00216157933639
Cartagena,2024-07-21,8,zn,220,1354108.61628497,1.00037575080154
Cartagena,2024-07-21,11,zn,179,1355515.65130374,1.00141522702699
Cartagena,2024-08-21,8,zn,216,1361117.47969737,1.00555369362985
Cartagena,2024-08-21,11,zn,175,1357924.64371728,1.0031949200039
Cartagena,2024-09-21,8,zn,212,1356938.4988946,1.00246638511717
Cartagena,2024-09-21,11,zn,176,1353682.63377273,1.00006104740893
Cartagena,2024-10-21,8,zn,217,1356630.55900465,1.00223888815356
Cartagena,2024-10-21,11,zn,188,1359434.57281386,1.00431041135776
Cartagena,2024-11-21,8,zn,232,1356472.97464211,1.002122469446
Cartagena,2024-11-21,11,zn,204,1355439.70474302,1.00135911993426
Cartagena,2024-12-21,8,zn,246,1357838.9314422,1.00313159828768
Cartagena,2024-12-21,11,zn,209,1356291.08450066,1.0019880943415
Cartagena,2024-01-21,8,cu,44,339342.57908622,1.02458508178207
Cartagena,2024-01-21,11,cu,22,345037.7301777,1.04178058628533
Cartagena,2024-02-21,8,cu,40,333112.45412598,1.00577431801322
Cartagena,2024-02-21,11,cu,20,335391.30208815,1.01265489760915
Cartagena,2024-03-21,8,cu,36,338524.635714151,1.02211544599683
Cartagena,2024-03-21,11,cu,19,335036.7190059,1.0115842965154
Cartagena,2024-04-21,8,cu,33,336039.69717951,1.01461261225697
Cartagena,2024-04-21,11,cu,19,337849.0041291,1.02007549555888
Cartagena,2024-05-21,8,cu,33,337357.89335676,1.01859267317862
Cartagena,2024-05-21,11,cu,20,347135.4544359,1.04811429479438
Cartagena,2024-06-21,8,cu,34,333362.186340271,1.00652834039937
Cartagena,2024-06-21,11,cu,20,338663.627298,1.02253510657609
Cartagena,2024-07-21,8,cu,35,335538.1585647,1.01309830484511
Cartagena,2024-07-21,11,cu,20,341112.7788291,1.02992988776902
Cartagena,2024-08-21,8,cu,34,332761.678123741,1.00471521172627
Cartagena,2024-08-21,11,cu,19,332059.3146009,1.00259454891576
Cartagena,2024-09-21,8,cu,33,334066.70629899,1.00865551418777
Cartagena,2024-09-21,11,cu,19,334888.1125074,1.01113560539674
Cartagena,2024-10-21,8,cu,34,339380.246279161,1.02469881122935
Cartagena,2024-10-21,11,cu,20,340884.4862088,1.02924059845652
Cartagena,2024-11-21,8,cu,37,335620.79849136,1.01334782153188
Cartagena,2024-11-21,11,cu,21,334649.70463995,1.01041577487908
Cartagena,2024-12-21,8,cu,42,338340.67160442,1.02155999880562
Cartagena,2024-12-21,11,cu,22,336432.75626451,1.01579938485661
Medellín,2024-01-21,8,zn,243,1357648.7053428,1.00299106482181
Medellín,2024-01-21,11,zn,194,1359717.31481367,1.0045192928588
Medellín,2024-02-21,8,zn,232,1359387.15814881,1.00427538279315
Medellín,2024-02-21,11,zn,180,1356143.68663668,1.00187920112048
Medellín,2024-03-21,8,zn,221,1354856.33221133,1.00092814140908
Medellín,2024-03-21,11,zn,175,1358184.96075816,1.00338723460266
Medellín,2024-04-21,8,zn,219,1360614.68586242,1.0051822442837
Medellín,2024-04-21,11,zn,179,1356702.61378245,1.00229212011115
Medellín,2024-05-21,8,zn,224,1354134.8183309,1.00039510810498
Medellín,2024-05-21,11,zn,188,1356849.40866696,1.00240056786862
Medellín,2024-06-21,8,zn,232,1360397.75992963,1.00502198576362
Medellín,2024-06-21,11,zn,193,1359669.03525993,1.00448362533978
Medellín,2024-07-21,8,zn,231,1356507.20324985,1.00214775653801
Medellín,2024-07-21,11,zn,188,1355705.70182298,1.00155563077939
Medellín,2024-08-21,8,zn,223,1356243.07021757,1.00195262279666
Medellín,2024-08-21,11,zn,181,1357471.17232728,1.00285990863422
Medellín,2024-09-21,8,zn,216,1356908.18564508,1.00244399057704
Medellín,2024-09-21,11,zn,179,1353891.35817495,1.00021524687866
Medellín,2024-10-21,8,zn,218,1358815.84473614,1.00385331319159
Medellín,2024-10-21,11,zn,187,1354106.16127734,1.00037393711387
Medellín,2024-11-21,8,zn,230,1357738.85968959,1.00305766821039
Medellín,2024-11-21,11,zn,201,1358048.76528126,1.00328661737682
Medellín,2024-12-21,8,zn,242,1353861.53689074,1.00019321578808
Medellín,2024-12-21,11,zn,204,1355098.94804451,1.00110737887449
Medellín,2024-01-21,8,cu,43,333787.316373929,1.00781194557346
Medellín,2024-01-21,11,cu,21,333286.27962315,1.00629915345154
Medellín,2024-02-21,8,cu,41,337310.566005569,1.01844977658686
Medellín,2024-02-21,11,cu,20,335819.25334065,1.01394702095607
Medellín,2024-03-21,8,cu,37,334121.49845334,1.00882094943641
Medellín,2024-03-21,11,cu,20,349040.3460843,1.05386577924004
Medellín,2024-04-21,8,cu,35,335288.64336426,1.01234493769402
Medellín,2024-04-21,11,cu,20,346435.5560394,1.04600107499819
Medellín,2024-05-21,8,cu,36,340932.670905331,1.02938608365136
Medellín,2024-05-21,11,cu,20,332894.5560372,1.0051164131558
Medellín,2024-06-21,8,cu,37,332252.02798128,1.00317641298696
Medellín,2024-06-21,11,cu,21,340173.4206954,1.02709366151993
Medellín,2024-07-21,8,cu,38,335611.37478114,1.01331936830054
Medellín,2024-07-21,11,cu,21,344332.9415904,1.03965260142029
Medellín,2024-08-21,8,cu,37,341739.18186033,1.03182120126911
Medellín,2024-08-21,11,cu,20,340614.5721399,1.02842564051902
Medellín,2024-09-21,8,cu,34,332284.155209011,1.00327341548614
Medellín,2024-09-21,11,cu,20,349193.9000631,1.05432940840308
Medellín,2024-10-21,8,cu,34,335649.071090521,1.01343318565978
Medellín,2024-10-21,11,cu,20,341838.1810536,1.03212011187681
Medellín,2024-11-21,8,cu,37,339603.44098302,1.02537270828207
Medellín,2024-11-21,11,cu,21,339880.6181883,1.02620959597917
Medellín,2024-12-21,8,cu,41,336094.788196319,1.01477894986811
Medellín,2024-12-21,11,cu,22,343373.38563459,1.03675539140879
Rosario,2024-01-21,8,zn,242,1355061.69806271,1.0010798596799
Rosario,2024-01-21,11,zn,172,1357367.36787531,1.00278322094807
Rosario,2024-02-21,8,zn,264,1356251.96175074,1.00195919160072
Rosario,2024-02-21,11,zn,185,1360513.27036239,1.00510732148522
Rosario,2024-03-21,8,zn,295,1359150.46477059,1.00410052066385
Rosario,2024-03-21,11,zn,210,1357203.27540351,1.00266199424018
Rosario,2024-04-21,8,zn,347,1358004.4651159,1.00325388971329
Rosario,2024-04-21,11,zn,264,1356101.70552807,1.00184818670809
Rosario,2024-05-21,8,zn,420,1355927.68555045,1.00171962584992
Rosario,2024-05-21,11,zn,428,1353655.47329221,1.00004098204212
Rosario,2024-06-21,8,zn,477,1355382.85695483,1.00131712245481
Rosario,2024-06-21,11,zn,,1223568.2503417,0.903936355157872
Rosario,2024-07-21,8,zn,431,1354218.68907864,1.00045706935479
Rosario,2024-07-21,11,zn,377,1354171.9927577,1.00042257148175
Rosario,2024-08-21,8,zn,352,1357248.9886583,1.00269576585276
Rosario,2024-08-21,11,zn,265,1355319.56787138,1.00127036633524
Rosario,2024-09-21,8,zn,286,1359776.0029115,1.00456264990506
Rosario,2024-09-21,11,zn,211,1354925.84401485,1.00097949469182
Rosario,2024-10-21,8,zn,245,1357313.13288639,1.00274315372813
Rosario,2024-10-21,11,zn,183,1355105.48402784,1.00111220746738
Rosario,2024-11-21,8,zn,227,1354483.29105471,1.00065254953805
Rosario,2024-11-21,11,zn,171,1360984.10175285,1.00545515791434
Rosario,2024-12-21,8,zn,229,1358214.70721556,1.00340921041339
Rosario,2024-12-21,11,zn,168,1357732.15484835,1.00305271487023
Rosario,2024-01-21,8,cu,45,335642.708122919,1.01341397380109
Rosario,2024-01-21,11,cu,21,342798.32942265,1.03501911057563
Rosario,2024-02-21,8,cu,55,333785.391216,1.00780613289855
Rosario,2024-02-21,11,cu,23,346573.86389874,1.04641867119185
Rosario,2024-03-21,8,cu,68,332206.55195166,1.00303910613424
Rosario,2024-03-21,11,cu,25,332596.50760557,1.00421650847092
Rosario,2024-04-21,8,cu,89,336899.100473037,1.01720742896448
Rosario,2024-04-21,11,cu,31,342900.05702076,1.03532625912065
Rosario,2024-05-21,8,cu,114,334529.046689535,1.01005146947323
Rosario,2024-05-21,11,cu,37,334846.14760758,1.01100889978134
Rosario,2024-06-21,8,cu,132,335221.156642922,1.01214117343877
Rosario,2024-06-21,11,cu,41,331466.57297436,1.00080487009167
Rosario,2024-07-21,8,cu,124,335569.582555914,1.01319318404564
Rosario,2024-07-21,11,cu,38,331683.90642288,1.00146107011739
Rosario,2024-08-21,8,cu,92,333112.717721835,1.00577511389443
Rosario,2024-08-21,11,cu,31,336652.9524051,1.01646422827627
Rosario,2024-09-21,8,cu,61,337167.2609322,1.01801709218659
Rosario,2024-09-21,11,cu,25,340501.29009153,1.02808360534882
Rosario,2024-10-21,8,cu,44,334706.07102903,1.0105859632519
Rosario,2024-10-21,11,cu,21,331977.8487909,1.00234857726721
Rosario,2024-11-21,8,cu,38,335269.57828239,1.01228737404103
Rosario,2024-11-21,11,cu,20,339619.3594761,1.02542077136504
Rosario,2024-12-21,8,cu,39,335599.03555032,1.01328211216884
Rosario,2024-12-21,11,cu,20,340208.6757864,1.02720010805072
Santiago de Chile,2024-01-21,5,zn,393,1357040.26252725,1.00254156510583
Santiago de Chile,2024-01-21,11,zn,173,1355962.28535474,1.00174518717105
Santiago de Chile,2024-02-21,5,zn,423,1359046.43016362,1.00402366294594
Santiago de Chile,2024-02-21,11,zn,186,1353749.10541038,1.00011015470625
Santiago de Chile,2024-03-21,5,zn,459,1357282.81031906,1.00272075230427
Santiago de Chile,2024-03-21,11,zn,215,1356489.1099542,1.00213438974158
Santiago de Chile,2024-04-21,5,zn,517,1354157.8640334,1.00041213359441
Santiago de Chile,2024-04-21,11,zn,283,1356509.8603816,1.00214971954906
Santiago de Chile,2024-05-21,5,zn,602,1354768.33577265,1.00086313221975
Santiago de Chile,2024-05-21,11,zn,,1208926.11333411,0.893119173562433
Santiago de Chile,2024-06-21,5,zn,682,1354268.19412248,1.00049364222996
Santiago de Chile,2024-06-21,11,zn,,1088686.57539924,0.804289727688563
Santiago de Chile,2024-07-21,5,zn,614,1355583.82191129,1.00146558947347
Santiago de Chile,2024-07-21,11,zn,,1241102.45207863,0.916890109396148
Santiago de Chile,2024-08-21,5,zn,523,1357951.48864657,1.00321475225072
Santiago de Chile,2024-08-21,11,zn,282,1354503.62918094,1.00066757474951
Santiago de Chile,2024-09-21,5,zn,447,1356429.1770444,1.00209011306471
Santiago de Chile,2024-09-21,11,zn,218,1356625.0476609,1.00223481653435
Santiago de Chile,2024-10-21,5,zn,395,1357528.93345078,1.00290258085903
Santiago de Chile,2024-10-21,11,zn,187,1355400.69933297,1.00133030388074
Santiago de Chile,2024-11-21,5,zn,369,1358338.38686797,1.00350058131499
Santiago de Chile,2024-11-21,11,zn,173,1356105.07486785,1.00185067587755
Santiago de Chile,2024-12-21,5,zn,372,1359686.43817059,1.00449648210002
Santiago de Chile,2024-12-21,11,zn,170,1360417.5186357,1.00503658291645
Santiago de Chile,2024-01-21,5,cu,172,332596.138740215,1.00421539474703
Santiago de Chile,2024-01-21,11,cu,20,332251.94548455,1.00317616390263
Santiago de Chile,2024-02-21,5,cu,199,331808.154730245,1.00183621597296
Santiago de Chile,2024-02-21,11,cu,22,338111.6254428,1.02086843430797
Santiago de Chile,2024-03-21,5,cu,223,332465.351904532,1.00382050695813
Santiago de Chile,2024-03-21,11,cu,25,339411.99052824,1.02479465739203
Santiago de Chile,2024-04-21,5,cu,251,336293.395168973,1.01537860860197
Santiago de Chile,2024-04-21,11,cu,30,335731.74582351,1.01368280743813
Santiago de Chile,2024-05-21,5,cu,279,332418.970002192,1.00368046498246
Santiago de Chile,2024-05-21,11,cu,37,337950.09311886,1.02038071593859
Santiago de Chile,2024-06-21,5,cu,298,334105.810898242,1.00877358362996
Santiago de Chile,2024-06-21,11,cu,41,335025.97316397,1.01155185134049
Santiago de Chile,2024-07-21,5,cu,289,331921.294798759,1.00217782246002
Santiago de Chile,2024-07-21,11,cu,38,336954.11685909,1.01737354124121
Santiago de Chile,2024-08-21,5,cu,255,335315.012244077,1.01242455387704
Santiago de Chile,2024-08-21,11,cu,31,342426.91029735,1.03389767601857
Santiago de Chile,2024-09-21,5,cu,210,337222.714906575,1.0181845256841
Santiago de Chile,2024-09-21,11,cu,25,345381.39620112,1.04281822524493
Santiago de Chile,2024-10-21,5,cu,170,333398.690601689,1.00663855857998
Santiago de Chile,2024-10-21,11,cu,21,335931.2042859,1.01428503709511
Santiago de Chile,2024-11-21,5,cu,147,333062.335192664,1.00562299273147
Santiago de Chile,2024-11-21,11,cu,20,343798.8801876,1.03804009718478
Santiago de Chile,2024-12-21,5,cu,150,333515.825467748,1.00699222665383
Santiago de Chile,2024-12-21,11,cu,20,345733.2476097,1.0438805785317
Londres,2024-01-21,5,zn,,698155.00474178,0.515776451493632
Londres,2024-01-21,11,zn,,506032.724243796,0.373842142615097
