City,Date,Initial_hour,Particule,TES,TUV Dose,Dose ratio
Nueva York,2024-01-21,5,zn,,1330596.55406028,0.983005728472432
Nueva York,2024-01-21,11,zn,,1105286.31110969,0.816553125819807
Nueva York,2024-02-21,5,zn,569,1357124.15143745,1.00260353977353
Nueva York,2024-02-21,11,zn,306,1356330.12208887,1.00201693416731
Nueva York,2024-03-21,5,zn,485,1355097.43734633,1.00110626281496
Nueva York,2024-03-21,11,zn,233,1356674.45159646,1.0022713147137
Nueva York,2024-04-21,5,zn,426,1356899.91918828,1.00243788356108
Nueva York,2024-04-21,11,zn,200,1356351.13911351,1.00203246092901
Nueva York,2024-05-21,5,zn,396,1356997.58828492,1.00251003862657
Nueva York,2024-05-21,11,zn,188,1357322.41798704,1.0027500132883
Nueva York,2024-06-21,5,zn,392,1355664.28652799,1.00152503437351
Nueva York,2024-06-21,11,zn,186,1358189.22287814,1.00339038333196
Nueva York,2024-07-21,5,zn,407,1354153.03057822,1.00040856277942
Nueva York,2024-07-21,11,zn,190,1355461.63647435,1.00137532245445
Nueva York,2024-08-21,5,zn,434,1355480.87919351,1.00138953841128
Nueva York,2024-08-21,11,zn,204,1357466.41479171,1.00285639390641
Nueva York,2024-09-21,5,zn,476,1358538.87174018,1.00364869366148
Nueva York,2024-09-21,11,zn,238,1354423.09364944,1.0006080774597
Nueva York,2024-10-21,5,zn,548,1356758.87569694,1.00233368476429
Nueva York,2024-10-21,11,zn,342,1354050.26039966,1.00033263918414
Nueva York,2024-11-21,5,zn,,1306134.89733448,0.964934173562706
Nueva York,2024-11-21,11,zn,,1010747.97807024,0.746710976706737
Nueva York,2024-12-21,5,zn,,1098513.93211504,0.811549890746925
Nueva York,2024-12-21,11,zn,,896395.951683101,0.662231051775341
Nueva York,2024-01-21,5,cu,326,333473.971242151,1.00686585519973
Nueva York,2024-01-21,11,cu,46,338199.03731832,1.0211323590529
Nueva York,2024-02-21,5,cu,285,331224.195073021,1.00007305275671
Nueva York,2024-02-21,11,cu,35,338821.62905436,1.0230121650192
Nueva York,2024-03-21,5,cu,237,336638.388403403,1.01642025484119
Nueva York,2024-03-21,11,cu,27,332527.06776795,1.00400684712545
Nueva York,2024-04-21,5,cu,189,334310.325414465,1.00939107914995
Nueva York,2024-04-21,11,cu,23,333180.25008537,1.00597901595824
Nueva York,2024-05-21,5,cu,159,332142.465715261,1.00284560904366
Nueva York,2024-05-21,11,cu,22,341026.66139973,1.029669871376
Nueva York,2024-06-21,5,cu,154,334885.010727534,1.01112624011937
