Spectral Irradiance, W m-2 nm-1
values at z =      2.245 km
Columns: wavelength (nm), times (hrs.) or sza (deg.)
    wc, nm     19.000     19.017     19.033     19.050     19.067     19.083     19.100     19.117     19.133     19.150     19.167     19.183     19.200     19.217     19.233     19.250     19.267     19.283     19.300     19.317     19.333     19.350     19.367     19.383     19.400     19.417     19.433     19.450     19.467     19.483     19.500     19.517     19.533     19.550     19.567     19.583     19.600     19.617     19.633     19.650     19.667     19.683     19.700     19.717     19.733     19.750     19.767     19.783     19.800     19.817     19.833     19.850     19.867     19.883     19.900     19.917     19.933     19.950     19.967     19.983     20.000
    sza =     115.740    115.948    116.157    116.365    116.574    116.783    116.992    117.200    117.409    117.618    117.827    118.037    118.246    118.455    118.664    118.874    119.083    119.293    119.503    119.712    119.922    120.132    120.342    120.553    120.762    120.973    121.183    121.394    121.604    121.815    122.025    122.236    122.446    122.657    122.868    123.079    123.290    123.501    123.712    123.923    124.135    124.346    124.557    124.768    124.980    125.192    125.403    125.615    125.826    126.038    126.250    126.462    126.673    126.885    127.098    127.310    127.522    127.734    127.946    128.158    128.371
  746.0000  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
------------------------------------------------------------
Dose rates, W m-2
   1 = vis+, > 400 nm                                    
values at z =      2.245 km
Columns: time, sza, weighting spectra
time, hrs.  sza, deg.          1
   19.0000    115.740  0.000E+00
   19.0167    115.948  0.000E+00
   19.0333    116.157  0.000E+00
   19.0500    116.365  0.000E+00
   19.0667    116.574  0.000E+00
   19.0833    116.783  0.000E+00
   19.1000    116.992  0.000E+00
   19.1167    117.200  0.000E+00
   19.1333    117.409  0.000E+00
   19.1500    117.618  0.000E+00
   19.1667    117.827  0.000E+00
   19.1833    118.037  0.000E+00
   19.2000    118.246  0.000E+00
   19.2167    118.455  0.000E+00
   19.2333    118.664  0.000E+00
   19.2500    118.874  0.000E+00
   19.2667    119.083  0.000E+00
   19.2833    119.293  0.000E+00
   19.3000    119.503  0.000E+00
   19.3167    119.712  0.000E+00
   19.3333    119.922  0.000E+00
   19.3500    120.132  0.000E+00
   19.3667    120.342  0.000E+00
   19.3833    120.553  0.000E+00
   19.4000    120.762  0.000E+00
   19.4167    120.973  0.000E+00
   19.4333    121.183  0.000E+00
   19.4500    121.394  0.000E+00
   19.4667    121.604  0.000E+00
   19.4833    121.815  0.000E+00
   19.5000    122.025  0.000E+00
   19.5167    122.236  0.000E+00
   19.5333    122.446  0.000E+00
   19.5500    122.657  0.000E+00
   19.5667    122.868  0.000E+00
   19.5833    123.079  0.000E+00
   19.6000    123.290  0.000E+00
   19.6167    123.501  0.000E+00
   19.6333    123.712  0.000E+00
   19.6500    123.923  0.000E+00
   19.6667    124.135  0.000E+00
   19.6833    124.346  0.000E+00
   19.7000    124.557  0.000E+00
   19.7167    124.768  0.000E+00
   19.7333    124.980  0.000E+00
   19.7500    125.192  0.000E+00
   19.7667    125.403  0.000E+00
   19.7833    125.615  0.000E+00
   19.8000    125.826  0.000E+00
   19.8167    126.038  0.000E+00
   19.8333    126.250  0.000E+00
   19.8500    126.462  0.000E+00
   19.8667    126.673  0.000E+00
   19.8833    126.885  0.000E+00
   19.9000    127.098  0.000E+00
   19.9167    127.310  0.000E+00
   19.9333    127.522  0.000E+00
   19.9500    127.734  0.000E+00
   19.9667    127.946  0.000E+00
   19.9833    128.158  0.000E+00
   20.0000    128.371  0.000E+00
------------------------------------------------------------
